timestamp,attack_type,severity,details
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=18)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Anomalous Traffic (ML),Medium,"IsolationForest flagged this packet as an anomaly"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=19)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=20)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.95, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 82%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.91, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 92%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.87, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 98%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.83, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 98%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.80, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 96%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.77, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 92%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.74, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 96%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.71, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.69, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 98%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 20:C1:0F:94:7C:1D sent excessive deauth frames (window ratio=0.67, count=0)"
2026-03-26 22:02:10,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 92%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC B2:F8:9A:A8:D6:03 sent excessive deauth frames (window ratio=0.65, count=0)"
2026-03-26 22:02:10,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:10,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 92%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC DA:F5:B0:4D:52:44 sent excessive deauth frames (window ratio=0.62, count=0)"
2026-03-26 22:02:10,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:10,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 98%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 05:70:2F:03:7E:7A sent excessive deauth frames (window ratio=0.61, count=0)"
2026-03-26 22:02:10,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:10,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 15:F7:34:10:20:55 sent excessive deauth frames (window ratio=0.59, count=0)"
2026-03-26 22:02:10,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:10,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC DB:6C:F4:9A:F9:D6 sent excessive deauth frames (window ratio=0.57, count=0)"
2026-03-26 22:02:10,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:10,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 01:2B:EC:FC:B0:16 sent excessive deauth frames (window ratio=0.56, count=0)"
2026-03-26 22:02:10,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:10,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 100%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B8:E1:6D:DD:A0:C4 sent excessive deauth frames (window ratio=0.54, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 100%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC 43:06:6B:1A:F2:2E sent excessive deauth frames (window ratio=0.53, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 100%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B2:F8:9A:A8:D6:03 sent excessive deauth frames (window ratio=0.51, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 100%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC DA:F5:B0:4D:52:44 sent excessive deauth frames (window ratio=0.50, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 96%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC 05:70:2F:03:7E:7A sent excessive deauth frames (window ratio=0.49, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 100%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC 15:F7:34:10:20:55 sent excessive deauth frames (window ratio=0.48, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 100%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC DB:6C:F4:9A:F9:D6 sent excessive deauth frames (window ratio=0.47, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 96%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC 01:2B:EC:FC:B0:16 sent excessive deauth frames (window ratio=0.45, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 90%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B8:E1:6D:DD:A0:C4 sent excessive deauth frames (window ratio=0.44, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B7:5C:88:3C:34:D8 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (mac_spoofing),High,"RandomForest classified packet as 'mac_spoofing' with confidence 86%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B3:FA:C5:AA:21:B4 sent excessive deauth frames (window ratio=0.43, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 78%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B3:FA:C5:AA:21:B4 sent excessive deauth frames (window ratio=0.43, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 90%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B3:FA:C5:AA:21:B4 sent excessive deauth frames (window ratio=0.42, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 92%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B3:FA:C5:AA:21:B4 sent excessive deauth frames (window ratio=0.41, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 100%"
2026-03-26 22:02:11,Anomalous Traffic (ML),Medium,"IsolationForest flagged this packet as an anomaly"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B3:FA:C5:AA:21:B4 sent excessive deauth frames (window ratio=0.40, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 100%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B3:FA:C5:AA:21:B4 sent excessive deauth frames (window ratio=0.38, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 100%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B3:FA:C5:AA:21:B4 sent excessive deauth frames (window ratio=0.36, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 100%"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B3:FA:C5:AA:21:B4 sent excessive deauth frames (window ratio=0.34, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 100%"
2026-03-26 22:02:11,Anomalous Traffic (ML),Medium,"IsolationForest flagged this packet as an anomaly"
2026-03-26 22:02:11,Deauthentication Attack,High,"MAC B3:FA:C5:AA:21:B4 sent excessive deauth frames (window ratio=0.32, count=0)"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 100%"
2026-03-26 22:02:11,Anomalous Traffic (ML),Medium,"IsolationForest flagged this packet as an anomaly"
2026-03-26 22:02:11,Evil Twin Attack,High,"SSID 'HomeNet' seen with new BSSID B3:FA:C5:AA:21:B4 (known BSSIDs: 04:73:5F:6E:7E:0B)"
2026-03-26 22:02:11,ML-Detected Attack (evil_twin),High,"RandomForest classified packet as 'evil_twin' with confidence 100%"
2026-03-26 22:02:11,Anomalous Traffic (ML),Medium,"IsolationForest flagged this packet as an anomaly"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=1)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 98%"
2026-03-26 22:11:44,Anomalous Traffic (ML),Medium,"IsolationForest flagged this packet as an anomaly"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=2)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 98%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=3)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=4)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=5)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=6)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=7)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=8)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=9)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=10)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=11)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=12)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=13)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=14)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=15)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=16)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=17)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=18)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=19)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 23:D9:A8:43:27:FE sent excessive deauth frames (window ratio=1.00, count=20)"
2026-03-26 22:11:44,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.95, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 86%"
2026-03-26 22:11:44,Anomalous Traffic (ML),Medium,"IsolationForest flagged this packet as an anomaly"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.91, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 94%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.87, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.83, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 98%"
2026-03-26 22:11:44,Anomalous Traffic (ML),Medium,"IsolationForest flagged this packet as an anomaly"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.80, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.77, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.74, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 94%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.71, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 100%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.69, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 96%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC F5:AB:33:C7:36:AB sent excessive deauth frames (window ratio=0.67, count=0)"
2026-03-26 22:11:44,ML-Detected Attack (rogue_ap),High,"RandomForest classified packet as 'rogue_ap' with confidence 94%"
2026-03-26 22:11:44,Deauthentication Attack,High,"MAC 5E:A1:BA:C9:28:35 sent excessive deauth frames (window ratio=0.65, count=0)"
